Date,ZipCode,WaterUse,PowerUse
10_2008,90005,67.82,326
11_2008,90005,65.88,326
12_2008,90005,62.17,337
01_2009,90005,61.95,332
02_2009,90005,55.58,297
03_2009,90005,64.11,305
04_2009,90005,62.53,290
05_2009,90005,66.42,290
06_2009,90005,63.83,284
07_2009,90005,69.62,325
08_2009,90005,68.87,336
09_2009,90005,67.33,331
10_2009,90005,65.99,337
11_2009,90005,63.31,321
12_2009,90005,62.42,331
01_2010,90005,59.67,329
02_2010,90005,53.1,296
03_2010,90005,60.6,297
04_2010,90005,59.35,282
05_2010,90005,64.89,287
06_2010,90005,62.8,280
07_2010,90005,68.58,307
08_2010,90005,68.55,312
09_2010,90005,65.06,303
10_2010,90005,65.55,316
11_2010,90005,60.41,322
12_2010,90005,60.16,337
01_2011,90005,60.8,343
02_2011,90005,53.86,308
03_2011,90005,60.43,309
04_2011,90005,58.79,292
05_2011,90005,64.88,286
06_2011,90005,63.59,281
07_2011,90005,69.72,318
08_2011,90005,67.1,319
09_2011,90005,65.13,301
10_2011,90005,64.04,314
11_2011,90005,59.91,322
12_2011,90005,60.97,335
01_2012,90005,60.96,322
02_2012,90005,56.85,297
03_2012,90005,61.44,302
04_2012,90005,59.15,288
05_2012,90005,64.6,285
06_2012,90005,63.34,283
07_2012,90005,32.06,328
08_2012,90005,31.89,338
09_2012,90005,29.06,332
10_2012,90005,27.39,335
11_2012,90005,20.36,303
12_2013,90005,18.6,321
01_2013,90005,17.71,344
02_2013,90005,17.04,303
03_2013,90005,21.75,279
04_2013,90005,22.91,266
05_2013,90005,28.36,283
06_2013,90005,28.5,280
07_2005,90006,51.45,255
08_2005,90006,51.4,256
09_2005,90006,48.03,237
10_2005,90006,48.22,247
11_2005,90006,46.08,257
12_2005,90006,47.35,267
01_2006,90006,46.5,271
02_2006,90006,41.78,245
03_2006,90006,45.44,264
04_2006,90006,43.66,253
05_2006,90006,48.44,249
06_2006,90006,47.85,242
07_2006,90006,52.59,287
08_2006,90006,51.62,286
09_2006,90006,46.83,240
10_2006,90006,48.01,250
11_2006,90006,46.5,270
12_2006,90006,47.23,282
01_2007,90006,45.71,292
02_2007,90006,40.83,263
03_2007,90006,47.37,256
04_2007,90006,46.39,244
05_2007,90006,46.76,239
06_2007,90006,46.32,234
07_2007,90006,49.95,272
08_2007,90006,49.1,272
09_2007,90006,46.85,245
10_2007,90006,47.03,256
11_2007,90006,44.34,270
12_2007,90006,44.45,281
01_2008,90006,42.43,290
02_2008,90006,38.51,271
03_2008,90006,43.37,247
04_2008,90006,42.39,237
05_2008,90006,45.4,253
06_2008,90006,42.86,247
07_2008,90006,47.36,271
08_2008,90006,46.63,272
09_2008,90006,45.34,254
10_2008,90006,45.45,263
11_2008,90006,43.12,272
12_2008,90006,43.2,282
01_2009,90006,42.73,276
02_2009,90006,38.01,248
03_2009,90006,42.8,251
04_2009,90006,41.79,238
05_2009,90006,44.58,238
06_2009,90006,42.03,231
07_2009,90006,45.17,263
08_2009,90006,44.92,268
09_2009,90006,43.71,259
10_2009,90006,42.86,269
11_2009,90006,41.55,266
12_2009,90006,41.81,276
01_2010,90006,41.25,276
02_2010,90006,37.01,249
03_2010,90006,41.19,242
04_2010,90006,39.35,230
05_2010,90006,42.58,233
06_2010,90006,41.28,226
07_2010,90006,43.81,251
08_2010,90006,43.98,253
09_2010,90006,42.23,241
10_2010,90006,42.37,252
11_2010,90006,40.32,271
12_2010,90006,40.6,282
01_2011,90006,41.33,284
02_2011,90006,36.7,256
03_2011,90006,40.41,249
04_2011,90006,39.1,237
05_2011,90006,43.01,235
06_2011,90006,41.2,229
07_2011,90006,44.07,258
08_2011,90006,43.68,259
09_2011,90006,42.68,243
10_2011,90006,42.59,254
11_2011,90006,39.74,273
12_2011,90006,40.87,283
01_2012,90006,41.11,270
02_2012,90006,38.06,252
03_2012,90006,41.26,252
04_2012,90006,39.92,241
05_2012,90006,42.87,236
06_2012,90006,40.6,229
07_2012,90006,12.59,273
08_2012,90006,12.49,277
09_2012,90006,11.63,269
10_2012,90006,11.8,277
11_2012,90006,9.95,265
12_2013,90006,10.28,275
01_2013,90006,10.31,295
02_2013,90006,9.25,266
03_2013,90006,10.78,241
04_2013,90006,10.52,229
05_2013,90006,11.46,237
06_2013,90006,11.07,232
07_2005,90007,45.65,285
08_2005,90007,46.75,297
09_2005,90007,47.15,316
10_2005,90007,47.52,325
11_2005,90007,43.21,300
12_2005,90007,43.88,309
01_2006,90007,42.66,313
02_2006,90007,39.87,283
03_2006,90007,43.93,308
04_2006,90007,45.86,295
05_2006,90007,52.64,279
06_2006,90007,51.6,268
07_2006,90007,55.48,321
08_2006,90007,55.01,327
09_2006,90007,54.19,320
10_2006,90007,53.28,330
11_2006,90007,48.06,311
12_2006,90007,46.66,321
01_2007,90007,47.38,333
02_2007,90007,43.93,301
03_2007,90007,50.32,300
04_2007,90007,48.06,287
05_2007,90007,45.88,267
06_2007,90007,46.5,257
07_2007,90007,47.77,301
08_2007,90007,47.11,315
09_2007,90007,49.38,340
10_2007,90007,51.61,347
11_2007,90007,45.5,314
12_2007,90007,38.67,324
01_2008,90007,41.14,343
02_2008,90007,38.52,320
03_2008,90007,44.46,292
04_2008,90007,43.34,282
05_2008,90007,45.09,293
06_2008,90007,40.02,281
07_2008,90007,47.12,302
08_2008,90007,46.39,318
09_2008,90007,48.19,341
10_2008,90007,50.66,349
11_2008,90007,45.06,314
12_2008,90007,38.24,323
01_2009,90007,41.05,318
02_2009,90007,37.79,288
03_2009,90007,44.07,292
04_2009,90007,43.01,279
05_2009,90007,44.47,277
06_2009,90007,39.35,262
07_2009,90007,42.1,293
08_2009,90007,43.28,306
09_2009,90007,46.62,341
10_2009,90007,45.2,348
11_2009,90007,41.83,300
12_2009,90007,37.57,309
01_2010,90007,37.41,311
02_2010,90007,36.15,282
03_2010,90007,40.27,277
04_2010,90007,40.54,264
05_2010,90007,43.2,253
06_2010,90007,40.93,241
07_2010,90007,43.7,261
08_2010,90007,51.29,269
09_2010,90007,52.29,285
10_2010,90007,51.95,295
11_2010,90007,49.58,288
12_2010,90007,47.33,298
01_2011,90007,53.4,308
02_2011,90007,48.6,278
03_2011,90007,53.25,272
04_2011,90007,47.96,259
05_2011,90007,54.48,246
06_2011,90007,49.53,236
07_2011,90007,43.45,269
08_2011,90007,44.22,278
09_2011,90007,44.87,286
10_2011,90007,44.43,297
11_2011,90007,40.01,296
12_2011,90007,36.9,305
01_2012,90007,40.28,290
02_2012,90007,37.98,271
03_2012,90007,42,276
04_2012,90007,40.43,263
05_2012,90007,42.29,241
06_2012,90007,41.13,235
07_2012,90007,13.02,276
08_2012,90007,13.04,294
09_2012,90007,13.18,336
10_2012,90007,13.06,338
11_2012,90007,10.53,280
12_2013,90007,10.83,290
01_2013,90007,10.37,312
02_2013,90007,9.33,281
03_2013,90007,11.37,259
04_2013,90007,11.03,250
05_2013,90007,12.31,259
06_2013,90007,11.87,247
07_2005,90008,27.74,358
08_2005,90008,27.56,360
09_2005,90008,25.89,351
10_2005,90008,24.33,371
11_2005,90008,21.2,371
12_2005,90008,21.56,397
01_2006,90008,21.49,412
02_2006,90008,18.87,370
03_2006,90008,20.18,405
04_2006,90008,20.37,371
05_2006,90008,23.19,353
06_2006,90008,24.44,360
07_2006,90008,27.72,400
08_2006,90008,26.89,382
09_2006,90008,24.88,347
10_2006,90008,24.83,375
11_2006,90008,23.12,385
12_2006,90008,22.82,420
01_2007,90008,22.1,442
02_2007,90008,20.28,375
03_2007,90008,22.94,380
04_2007,90008,23.01,359
05_2007,90008,25.31,357
06_2007,90008,25.18,351
07_2007,90008,26.76,373
08_2007,90008,26.43,375
09_2007,90008,25.07,363
10_2007,90008,24.27,386
11_2007,90008,21.4,388
12_2007,90008,20.73,418
01_2008,90008,19.24,438
02_2008,90008,18.16,386
03_2008,90008,20.49,368
04_2008,90008,20.95,350
05_2008,90008,23.47,353
06_2008,90008,23.25,353
07_2008,90008,25.47,382
08_2008,90008,24.95,374
09_2008,90008,23.57,354
10_2008,90008,23.45,376
11_2008,90008,21.27,376
12_2008,90008,20.54,404
01_2009,90008,18.77,421
02_2009,90008,17.16,367
03_2009,90008,19.79,370
04_2009,90008,19.91,348
05_2009,90008,21.84,344
06_2009,90008,21.4,334
07_2009,90008,22.81,356
08_2009,90008,22.51,361
09_2009,90008,21.59,355
10_2009,90008,21.26,374
11_2009,90008,19.24,371
12_2009,90008,18.99,396
01_2010,90008,17.83,410
02_2010,90008,16.05,357
03_2010,90008,17.61,356
04_2010,90008,18,334
05_2010,90008,20.7,329
06_2010,90008,20.84,319
07_2010,90008,22.22,335
08_2010,90008,22.07,342
09_2010,90008,21.05,337
10_2010,90008,20.18,361
11_2010,90008,17.62,367
12_2010,90008,17.81,396
01_2011,90008,17.46,414
02_2011,90008,16.07,361
03_2011,90008,17.98,370
04_2011,90008,18.33,340
05_2011,90008,20.66,328
06_2011,90008,20.71,320
07_2011,90008,22.6,335
08_2011,90008,22.14,336
09_2011,90008,20.85,327
10_2011,90008,20.01,358
11_2011,90008,17.89,371
12_2011,90008,18.43,392
01_2012,90008,18.61,399
02_2012,90008,17.26,361
03_2012,90008,18.38,364
04_2012,90008,18.2,334
05_2012,90008,19.91,320
06_2012,90008,20.48,317
07_2012,90008,11.84,340
08_2012,90008,11.69,354
09_2012,90008,11.16,357
10_2012,90008,10.39,368
11_2012,90008,8.56,357
12_2013,90008,8.31,391
01_2013,90008,7.84,418
02_2013,90008,7.29,347
03_2013,90008,8.81,334
04_2013,90008,9.2,317
05_2013,90008,10.79,318
06_2013,90008,10.74,312
07_2005,90009,0,427
08_2005,90009,0,386
09_2005,90009,0,371
10_2005,90009,0,356
11_2005,90009,0,346
12_2005,90009,0,406
01_2006,90009,0,406
02_2006,90009,0,310
03_2006,90009,0,342
04_2006,90009,0,305
05_2006,90009,0,321
06_2006,90009,0,466
07_2006,90009,0,469
08_2006,90009,0,352
09_2006,90009,0,345
10_2006,90009,0,404
11_2006,90009,0,393
12_2006,90009,0,476
01_2007,90009,0,476
02_2007,90009,0,437
03_2007,90009,0,484
04_2007,90009,0,478
05_2007,90009,0,497
06_2007,90009,0,521
07_2007,90009,0,529
08_2007,90009,0,466
09_2007,90009,0,455
10_2007,90009,0,496
11_2007,90009,0,481
12_2007,90009,0,528
01_2008,90009,0,525
02_2008,90009,0,421
03_2008,90009,0,450
04_2008,90009,0,521
05_2008,90009,0,535
06_2008,90009,0,474
07_2008,90009,0,494
08_2008,90009,0,549
09_2008,90009,0,535
10_2008,90009,0,579
11_2008,90009,0,561
12_2008,90009,0,609
01_2009,90009,0,609
02_2009,90009,0,508
03_2009,90009,0,563
04_2009,90009,0,487
05_2009,90009,0,501
06_2009,90009,0,450
07_2009,90009,0,158
08_2009,90009,0,198
09_2009,90009,0,192
10_2009,90009,0,194
11_2009,90009,0,188
12_2009,90009,0,200
01_2010,90009,0,200
02_2010,90009,0,122
03_2010,90009,0,133
04_2010,90009,0,169
05_2010,90009,0,229
06_2010,90009,0,442
07_2010,90009,0,332
08_2010,90009,0,366
09_2010,90009,0,353
10_2010,90009,0,344
11_2010,90009,0,333
12_2010,90009,0,359
01_2011,90009,0,359
02_2011,90009,0,296
03_2011,90009,0,328
04_2011,90009,0,286
05_2011,90009,0,284
06_2011,90009,0,291
07_2011,90009,0,310
08_2011,90009,0,316
09_2011,90009,0,310
10_2011,90009,0,288
11_2011,90009,0,278
